"globaleventid","day","monthyear","year","fractiondate","actor1code","actor1name","actor1countrycode","actor1knowngroupcode","actor1ethniccode","actor1religion1code","actor1religion2code","actor1type1code","actor1type2code","actor1type3code","actor2code","actor2name","actor2countrycode","actor2knowngroupcode","actor2ethniccode","actor2religion1code","actor2religion2code","actor2type1code","actor2type2code","actor2type3code","isrootevent","eventcode","eventbasecode","eventrootcode","quadclass","goldsteinscale","nummentions","numsources","numarticles","avgtone","actor1geo_type","actor1geo_fullname","actor1geo_countrycode","actor1geo_adm1code","actor1geo_lat","actor1geo_long","actor1geo_featureid","actor2geo_type","actor2geo_fullname","actor2geo_countrycode","actor2geo_adm1code","actor2geo_lat","actor2geo_long","actor2geo_featureid","actiongeo_type","actiongeo_fullname","actiongeo_countrycode","actiongeo_adm1code","actiongeo_lat","actiongeo_long","actiongeo_featureid","dateadded","sourceurl"
"28576193","19990726","199907","1999","1999.5645","GOV","PRESIDENT","","","","","","GOV","","","","","","","","","","","","",,"1411","141","14","3","-6.5","2","1","2","4.4334974","4","Belgrade, Serbia (general),","RB","RB00","44.8186","20.4681","-74897",,"","","","0.0","0.0","0","4","Belgrade, Serbia (general),","RB","RB00","44.8186","20.4681","-74897","20130203",
"28576947","19990726","199907","1999","1999.5645","GOV","PRESIDENT","","","","","","GOV","","","SCGSRB","SERBIA","SRB","","","","","","","",,"1411","141","14","3","-6.5","1","1","1","4.0609136","0","Sabac, , Serbia","RI","RI00","44.7467","19.69","-94831","0","Sabac, , Serbia","RI","RI00","44.7467","19.69","-94831","4","Sabac, , Serbia","RI","RI00","44.7467","19.69","-94831","20130203",
"28581610","19990726","199907","1999","1999.5645","OPP","PROTESTER","","","","","","OPP","","","GOV","PRESIDENT","","","","","","GOV","","",,"1411","141","14","3","-6.5","7","1","7","4.4334974","4","Belgrade, Serbia (general),","RB","RB00","44.8186","20.4681","-74897","4","Belgrade, Serbia (general),","RB","RB00","44.8186","20.4681","-74897","4","Belgrade, Serbia (general),","RB","RB00","44.8186","20.4681","-74897","20130203",
"28581611","19990726","199907","1999","1999.5645","OPP","PROTESTER","","","","","","OPP","","","GOV","PRESIDENT","","","","","","GOV","","",,"1411","141","14","3","-6.5","5","1","5","4.0609136","4","Belgrade, Serbia (general),","RB","RB00","44.8186","20.4681","-74897","0","Sabac, , Serbia","RI","RI00","44.7467","19.69","-94831","4","Belgrade, Serbia (general),","RB","RB00","44.8186","20.4681","-74897","20130203",
"28581612","19990726","199907","1999","1999.5645","OPP","PROTESTER","","","","","","OPP","","","GOV","PRESIDENT","","","","","","GOV","","",,"1411","141","14","3","-6.5","1","1","1","4.0609136","0","Sabac, , Serbia","RI","RI00","44.7467","19.69","-94831","0","Sabac, , Serbia","RI","RI00","44.7467","19.69","-94831","4","Belgrade, Serbia (general),","RB","RB00","44.8186","20.4681","-74897","20130203",
"28607128","19990728","199907","1999","1999.57","HRV","CROATIAN","HRV","","","","","","","","GOV","PRESIDENT","","","","","","GOV","","",,"1411","141","14","3","-6.5","3","1","3","2.310231","4","Belgrade, Serbia (general),","RB","RB00","44.8186","20.4681","-74897","4","Vracar, , Serbia","RI","RI00","44.5219","19.2769","281503","4","Vracar, , Serbia","RI","RI00","44.5219","19.2769","281503","20130203",
"28610445","19990728","199907","1999","1999.57","MED","NEWS AGENCY","","","","","","MED","","","GOV","PRESIDENT","","","","","","GOV","","",,"1411","141","14","3","-6.5","5","1","5","1.509434","4","Vracar, , Serbia","RI","RI00","44.5219","19.2769","281503","4","Vracar, , Serbia","RI","RI00","44.5219","19.2769","281503","4","Vracar, , Serbia","RI","RI00","44.5219","19.2769","281503","20130203",
"28610446","19990728","199907","1999","1999.57","MED","NEWS AGENCY","","","","","","MED","","","GOV","PRESIDENT","","","","","","GOV","","",,"1411","141","14","3","-6.5","1","1","1","1.509434","4","Vracar, , Serbia","RI","RI00","44.5219","19.2769","281503",,"","YI","YI","0.0","0.0","0","4","Vracar, , Serbia","RI","RI00","44.5219","19.2769","281503","20130203",
"28610447","19990728","199907","1999","1999.57","MED","NEWS AGENCY","","","","","","MED","","","GOV","PRESIDENT","","","","","","GOV","","",,"1411","141","14","3","-6.5","1","1","1","1.509434","4","Vracar, , Serbia","RI","RI00","44.5219","19.2769","281503",,"","YI","YI","0.0","0.0","0","1","","YI","YI","0.0","0.0","0","20130203",
"159860998","20090419","200904","2009","2009.2986","","","","","","","","","","","GOV","PRESIDENT","","","","","","GOV","","",,"1411","141","14","3","-6.5","9","1","9","3.8461537",,"","","","0.0","0.0","0","4","South Ossetia, Georgia (general), Georgia","GG","GG00","42.3333","44.0","-2329959","4","South Ossetia, Georgia (general), Georgia","GG","GG00","42.3333","44.0","-2329959","20130203",
"412092152","20150225","201502","2015","2015.1508","YEM","YEMENI","YEM","","","","","","","","GOV","PRESIDENT","","","","","","GOV","","",,"1411","141","14","3","-6.5","2","1","2","-5.734767","4","Sanaa, Sana', Yemen","YM","YM16","15.3547","44.2067","-3191442","4","Sanaa, Sana', Yemen","YM","YM16","15.3547","44.2067","-3191442","4","Sanaa, Sana', Yemen","YM","YM16","15.3547","44.2067","-3191442","20150225","http://sputniknews.com/middleeast/20150225/1018714804.html"
"412200771","20150225","201502","2015","2015.1508","","","","","","","","","","","GOV","PRESIDENT","","","","","","GOV","","",,"1411","141","14","3","-6.5","5","1","5","-8.794788","0","","","",,,,"1","Malaysia","MY","MY","2.5","112.5",,"1","Malaysia","MY","MY","2.5","112.5",,"20150225","http://www.misna.org/en/economy-and-politics/president-rejects-calls-to-step-down-25-02-2015-813.html"
"77888254","20111011","201110","2011","2011.7699","YEM","YEMEN","YEM","","","","","","","","GOV","PRESIDENT","","","","","","GOV","","",,"1411","141","14","3","-6.5","8","1","1","2.2058823","1","Yemen","YM","YM","15.0","48.0","0","4","Dushanbe, Tajikistan (general), Tajikistan","TI","TI00","38.56","68.7739","-2555530","1","Yemen","YM","YM","15.0","48.0","0","20130203",
"229553434","20130130","201301","2013","2013.0822","EGY","EGYPT","EGY","","","","","","","","GOV","PRESIDENT","","","","","","GOV","","",,"1411","141","14","3","-6.5","4","1","4","1.8218623","4","Port Said, Bur Said, Egypt","EG","EG19","31.2565","32.2841","-292710","4","Port Said, Bur Said, Egypt","EG","EG19","31.2565","32.2841","-292710","4","Port Said, Bur Said, Egypt","EG","EG19","31.2565","32.2841","-292710","20130203",
"168051570","20071126","200711","2007","2007.8932","OPP","PROTESTER","","","","","","OPP","","","GOV","PRESIDENT","","","","","","GOV","","",,"1411","141","14","3","-6.5","9","1","9","6.0998154","4","Taipei, T'ai-pei, Taiwan","TW","TW03","25.0478","121.532","-2637882","4","Taipei, T'ai-pei, Taiwan","TW","TW03","25.0478","121.532","-2637882","4","Taipei, T'ai-pei, Taiwan","TW","TW03","25.0478","121.532","-2637882","20130203",
"121802178","20110417","201104","2011","2011.2932","GOVOPP","GOVERNMENT","","","","","","GOV","OPP","","GOV","PRESIDENT","","","","","","GOV","","",,"1411","141","14","3","-6.5","14","1","14","2.9850745","4","Sanaa, Sana', Yemen","YM","YM16","15.3547","44.2067","-3191442","4","Sanaa, Sana', Yemen","YM","YM16","15.3547","44.2067","-3191442","4","Sanaa, Sana', Yemen","YM","YM16","15.3547","44.2067","-3191442","20130203",
"121918275","20110418","201104","2011","2011.2959","SYR","SYRIAN","SYR","","","","","","","","GOV","PRESIDENT","","","","","","GOV","","",,"1411","141","14","3","-6.5","14","9","14","5.7251105","4","Cairo, Al Qahirah, Egypt","EG","EG11","30.05","31.25","-290692","4","Cairo, Al Qahirah, Egypt","EG","EG11","30.05","31.25","-290692","4","Cairo, Al Qahirah, Egypt","EG","EG11","30.05","31.25","-290692","20130203",
