"globaleventid","day","monthyear","year","fractiondate","actor1code","actor1name","actor1countrycode","actor1knowngroupcode","actor1ethniccode","actor1religion1code","actor1religion2code","actor1type1code","actor1type2code","actor1type3code","actor2code","actor2name","actor2countrycode","actor2knowngroupcode","actor2ethniccode","actor2religion1code","actor2religion2code","actor2type1code","actor2type2code","actor2type3code","isrootevent","eventcode","eventbasecode","eventrootcode","quadclass","goldsteinscale","nummentions","numsources","numarticles","avgtone","actor1geo_type","actor1geo_fullname","actor1geo_countrycode","actor1geo_adm1code","actor1geo_lat","actor1geo_long","actor1geo_featureid","actor2geo_type","actor2geo_fullname","actor2geo_countrycode","actor2geo_adm1code","actor2geo_lat","actor2geo_long","actor2geo_featureid","actiongeo_type","actiongeo_fullname","actiongeo_countrycode","actiongeo_adm1code","actiongeo_lat","actiongeo_long","actiongeo_featureid","dateadded","sourceurl"
"325137246","20141125","201411","2014","2014.8904","OPP","PROTEST GROUP","","","","","","OPP","","","GOV","PRESIDENT","","","","","","GOV","","",,"1411","141","14","3","-6.5","10","1","10","1.369863","4","Tijuana, Baja California, Mexico","MX","MX02","32.5333","-117.017","-1705741","4","Tijuana, Baja California, Mexico","MX","MX02","32.5333","-117.017","-1705741","4","Tijuana, Baja California, Mexico","MX","MX02","32.5333","-117.017","-1705741","20141125","http://article.wn.com/view/2014/11/25/Walmex_Hurt_as_Buyers_Hit_by_Protests_Economy_Corporate_Mexi/"
"505366797","20160125","201601","2016","2016.0685","OPP","PROTESTER","","","","","","OPP","","","GOV","PRESIDENT","","","","","","GOV","","",,"1411","141","14","3","-6.5","10","1","10","-1.459854","4","Chisinau, Chisinau, Moldova","MD","MD57","47.0056","28.8575","-2276223","4","Chisinau, Chisinau, Moldova","MD","MD57","47.0056","28.8575","-2276223","4","Chisinau, Chisinau, Moldova","MD","MD57","47.0056","28.8575","-2276223","20160125","http://eng.tpp-inform.ru/news/7135.html"
"507626485","20160201","201602","2016","2016.085","OPP","PROTESTER","","","","","","OPP","","","GOV","PRESIDENT","","","","","","GOV","","",,"1411","141","14","3","-6.5","15","2","15","-6.0726223","4","Port-Au-Prince, Ouest, Haiti","HA","HA11","18.5392","-72.335","-70311","4","Port-Au-Prince, Ouest, Haiti","HA","HA11","18.5392","-72.335","-70311","4","Port-Au-Prince, Ouest, Haiti","HA","HA11","18.5392","-72.335","-70311","20160201","http://www.crisisgroup.org/en/publication-type/crisiswatch/crisiswatch-database.aspx?CountryIDs=%7B997C96D0-0312-4670-84B8-C717FDBA831E%7D"
"495524366","20151218","201512","2015","2015.9534","OPP","PROTESTER","","","","","","OPP","","","GOV","PRESIDENT","","","","","","GOV","","",,"1411","141","14","3","-6.5","10","1","10","-6.140351","1","Syria","SY","SY","35.0","38.0",,"1","Syria","SY","SY","35.0","38.0",,"1","Syria","SY","SY","35.0","38.0",,"20151218","http://article.wn.com/view/2015/12/18/security_council_members_reach_agreement_to_end_civil_war_in/"
"212592782","20120807","201208","2012","2012.5945","OPP","PROTESTER","","","","","","OPP","","","GOV","PRESIDENT","","","","","","GOV","","",,"1411","141","14","3","-6.5","10","1","10","2.8901734","1","Mauritania","MR","MR","20.0","-12.0","0","1","Mauritania","MR","MR","20.0","-12.0","0","1","Mauritania","MR","MR","20.0","-12.0","0","20130203",
"331519239","20150112","201501","2015","2015.033","OPP","PROTESTER","","","","","","OPP","","","GOV","PRESIDENT","","","","","","GOV","","",,"1411","141","14","3","-6.5","112","5","40","4.475732","4","Port-Au-Prince, Ouest, Haiti","HA","HA11","18.5392","-72.335","-70311","4","Port-Au-Prince, Ouest, Haiti","HA","HA11","18.5392","-72.335","-70311","4","Port-Au-Prince, Ouest, Haiti","HA","HA11","18.5392","-72.335","-70311","20150112","http://www.kwwl.com/story/27823569/haiti-leader-opposition-forge-deal-to-possibly-end-impasse"
"331519240","20150112","201501","2015","2015.033","OPP","PROTESTER","","","","","","OPP","","","GOV","PRESIDENT","","","","","","GOV","","",,"1411","141","14","3","-6.5","4","1","2","4.076087","2","Iowa, United States","US","USIA","42.0046","-93.214",,"4","Port-Au-Prince, Ouest, Haiti","HA","HA11","18.5392","-72.335","-70311","4","Port-Au-Prince, Ouest, Haiti","HA","HA11","18.5392","-72.335","-70311","20150112","http://www.kwwl.com/story/27823569/haiti-leader-opposition-forge-deal-to-possibly-end-impasse"
"331519241","20150112","201501","2015","2015.033","OPP","PROTESTER","","","","","","OPP","","","GOV","PRESIDENT","","","","","","GOV","","",,"1411","141","14","3","-6.5","4","1","2","4.5662103","2","Oklahoma, United States","US","USOK","35.5376","-96.9247",,"4","Port-Au-Prince, Ouest, Haiti","HA","HA11","18.5392","-72.335","-70311","4","Port-Au-Prince, Ouest, Haiti","HA","HA11","18.5392","-72.335","-70311","20150112","http://www.ktul.com/story/27823569/haiti-leader-opposition-forge-deal-to-possibly-end-impasse"
"510009672","20160209","201602","2016","2016.1068","OPP","DEMONSTRATOR","","","","","","OPP","","","GOV","PRESIDENT","","","","","","GOV","","",,"1411","141","14","3","-6.5","5","1","5","-4.6296296","4","Port-Au-Prince, Ouest, Haiti","HA","HA11","18.5392","-72.335","-70311","4","Port-Au-Prince, Ouest, Haiti","HA","HA11","18.5392","-72.335","-70311","4","Port-Au-Prince, Ouest, Haiti","HA","HA11","18.5392","-72.335","-70311","20160209","http://www.weupit.com/ap-newsbreak-deal-reached-on-provisional-haiti-government/33816/"
"509639795","20160208","201602","2016","2016.1041","OPP","DEMONSTRATOR","","","","","","OPP","","","GOV","PRESIDENT","","","","","","GOV","","",,"1411","141","14","3","-6.5","3","1","3","-1.7751479","4","Port-Au-Prince, Ouest, Haiti","HA","HA11","18.5392","-72.335","-70311","4","Port-Au-Prince, Ouest, Haiti","HA","HA11","18.5392","-72.335","-70311","4","Port-Au-Prince, Ouest, Haiti","HA","HA11","18.5392","-72.335","-70311","20160208","http://farandulife.com/2016/02/haiti-leader-departs-to-make-way-for-interim-government/"
"595310324","20161103","201611","2016","2016.8301","OPP","PROTESTER","","","","","","OPP","","","GOV","PRESIDENT","","","","","","GOV","","",,"1411","141","14","3","-6.5","2","1","2","-2.3809524","4","Pretoria, Gauteng, South Africa","SF","SF06","-25.7069","28.2294","-1273769","4","Pretoria, Gauteng, South Africa","SF","SF06","-25.7069","28.2294","-1273769","4","Pretoria, Gauteng, South Africa","SF","SF06","-25.7069","28.2294","-1273769","20161103","http://brazilbusiness.einnews.com/article/352249579/live"
"595310325","20161103","201611","2016","2016.8301","OPP","PROTESTER","","","","","","OPP","","","GOV","PRESIDENT","","","","","","GOV","","",,"1411","141","14","3","-6.5","2","1","2","-2.3809524","1","Brazil","BR","BR","-10.0","-55.0",,"4","Pretoria, Gauteng, South Africa","SF","SF06","-25.7069","28.2294","-1273769","4","Pretoria, Gauteng, South Africa","SF","SF06","-25.7069","28.2294","-1273769","20161103","http://brazilbusiness.einnews.com/article/352249579/live"
"595322258","20161103","201611","2016","2016.8301","OPP","PROTESTER","","","","","","OPP","","","GOV","PRESIDENT","","","","","","GOV","","",,"1411","141","14","3","-6.5","5","1","5","-4.172462","4","Seoul, Soul-t'ukpyolsi, South Korea","KS","KS11","37.5664","127.0","-716583","4","Seoul, Soul-t'ukpyolsi, South Korea","KS","KS11","37.5664","127.0","-716583","4","Seoul, Soul-t'ukpyolsi, South Korea","KS","KS11","37.5664","127.0","-716583","20161103","http://english.sina.com/news/2016-11-03/detail-ifxxmyuk5756942.shtml"
"595391072","20161103","201611","2016","2016.8301","OPP","PROTESTER","","","","","","OPP","","","GOV","PRESIDENT","","","","","","GOV","","",,"1411","141","14","3","-6.5","10","1","10","-5.243902","4","Aleppo, ?alab, Syria","SY","SY09","36.2028","37.1586","-2541857","4","Aleppo, ?alab, Syria","SY","SY09","36.2028","37.1586","-2541857","4","Aleppo, ?alab, Syria","SY","SY09","36.2028","37.1586","-2541857","20161103","https://article.wn.com/view/2016/11/02/The_tales_of_bodies_and_blood_that_surround_a_front_line_in_/"
"492337982","20151208","201512","2015","2015.926","OPP","PROTESTER","","","","","","OPP","","","GOV","PRESIDENT","","","","","","GOV","","",,"1411","141","14","3","-6.5","16","1","16","-6.428103","1","Syria","SY","SY","35.0","38.0",,"1","Syria","SY","SY","35.0","38.0",,"1","Syria","SY","SY","35.0","38.0",,"20151208","http://freerepublic.com/focus/f-chat/3369827/posts"
"493386935","20151211","201512","2015","2015.9342","OPP","PROTESTER","","","","","","OPP","","","GOV","PRESIDENT","","","","","","GOV","","",,"1411","141","14","3","-6.5","8","1","8","-2.2103148","1","Syria","SY","SY","35.0","38.0",,"1","Syria","SY","SY","35.0","38.0",,"1","Syria","SY","SY","35.0","38.0",,"20151211","http://freerepublic.com/focus/f-news/3371327/posts"
"493176267","20151211","201512","2015","2015.9342","OPP","PROTESTER","","","","","","OPP","","","GOV","PRESIDENT","","","","","","GOV","","",,"1411","141","14","3","-6.5","6","2","6","-6.424581","4","Tegucigalpa, Francisco MorazáHO, Honduras","HO","HO08","14.1","-87.2167","-1130280","4","Tegucigalpa, Francisco MorazáHO, Honduras","HO","HO08","14.1","-87.2167","-1130280","4","Tegucigalpa, Francisco MorazáHO, Honduras","HO","HO08","14.1","-87.2167","-1130280","20151211","http://www.thepublicopinion.com/news/associated_press/world/in-honduras-chaos-a-man-s-killing-tells-a-nation/article_50e432ad-c009-5cb2-8d9a-5c18aa1decb9.html"
"474117882","20151008","201510","2015","2015.7616","OPP","PROTESTER","","","","","","OPP","","","GOV","PRESIDENT","","","","","","GOV","","",,"1411","141","14","3","-6.5","8","1","8","-3.698897","4","Chisinau, Chisinau, Moldova","MD","MD57","47.0056","28.8575","-2276223","4","Chisinau, Chisinau, Moldova","MD","MD57","47.0056","28.8575","-2276223","4","Chisinau, Chisinau, Moldova","MD","MD57","47.0056","28.8575","-2276223","20151008","http://warrenfyfenews.org/the-billion-dollar-ex-council-flat/"
"492691757","20151209","201512","2015","2015.9288","OPP","PROTESTER","","","","","","OPP","","","GOV","PRESIDENT","","","","","","GOV","","",,"1411","141","14","3","-6.5","8","1","8","-2.3020258","1","Syria","SY","SY","35.0","38.0",,"1","Syria","SY","SY","35.0","38.0",,"1","Syria","SY","SY","35.0","38.0",,"20151209","http://freerepublic.com/focus/f-news/3370331/posts"
"486753685","20151120","201511","2015","2015.8767","OPP","PROTESTER","","","","","","OPP","","","GOV","PRESIDENT","","","","","","GOV","","",,"1411","141","14","3","-6.5","20","1","10","-1.9899718","4","Deraa, Dara, Syria","SY","SY06","32.6189","36.1021","-2541008","4","Deraa, Dara, Syria","SY","SY06","32.6189","36.1021","-2541008","4","Deraa, Dara, Syria","SY","SY06","32.6189","36.1021","-2541008","20151120","http://article.wn.com/view/2015/11/20/Syria_peace_deal_elusive_as_ever_in_wake_of_Islamic_State_at_g/"
"286571081","20140219","201402","2014","2014.1342","OPP","PROTESTER","","","","","","OPP","","","GOV","PRESIDENT","","","","","","GOV","","",,"1411","141","14","3","-6.5","20","2","20","1.0453707","4","Kiev, Ukraine (general), Ukraine","UP","UP00","50.4333","30.5167","-1044367","4","Kiev, Ukraine (general), Ukraine","UP","UP00","50.4333","30.5167","-1044367","4","Kiev, Ukraine (general), Ukraine","UP","UP00","50.4333","30.5167","-1044367","20140219","http://wwmt.com/shared/news/features/national/stories/wwmt_new-armed-forces-chief-ukraine-6831.shtml"
"286571083","20140219","201402","2014","2014.1342","OPP","PROTESTER","","","","","","OPP","","","GOV","PRESIDENT","","","","","","GOV","","",,"1411","141","14","3","-6.5","20","2","20","1.4440433","1","Russia","RS","RS","60.0","100.0",,"1","Russia","RS","RS","60.0","100.0",,"1","Russia","RS","RS","60.0","100.0",,"20140219","http://www.osundefender.org/?p=151379"
